"Authors","Title","Journal","Year","study_design","aims","intervention1","intervention2","intervention3","description","inclusion_criterion1","inclusion_criterion2","inclusion_criterion3","inclusion_criterion4","inclusion_criterion5","inclusion_criterion6","inclusion_criterion7","inclusion_criterion8","exclusion_criterion1","exclusion_criterion2","exclusion_criterion3","exclusion_criterion4","exclusion_criterion5","exclusion_criterion6","exclusion_criterion7","exclusion_criterion8","exclusion_criterion9","exclusion_criterion10","exclusion_criterion11","exclusion_criterion12","exclusion_criterion13","exclusion_criterion14","exclusion_criterion15","exclusion_criterion16","exclusion_criterion17","exclusion_criterion18","exclusion_criterion19","exclusion_criterion20","exclusion_criterion21","exclusion_criterion22","exclusion_criterion23","exclusion_criterion24","exclusion_criterion25","exclusion_criterion26"
"Montastruc et al. 1999","A Randomized, Double-Blind Study of a Skin Patch of a Dopaminergic Agonist, Piribedil, in Parkinson’s Disease","Mov. Disord.","1999","Randomised-controlled trial (RCT)","to evaluate the pharmacologic activity of one and two transdermal patches of piribedil in combination with L-dopa on the motor symptoms of iPS","dopamine_agonist",NA,NA,"Transdermal patches with 30-cm2 matrices containing 50mg micronized piribedil and an adhesive strip were used, wheras placebo was of matching appearance. Two patches were applied daily at the same time on the dorsal surface of the arm, one below the other, on alternating arms at each application. If a patch became unstuck over more than half its area before the scheduled removal time, a replacement patch was applied to the same site. During the selection period, patients were treated for seven days with two placebo patches. At inclusion, randomization into three parallel treatment groups: a. two piribedil patches, b. two placebo patches, or c. one piribedil and one placebo patch.","iPS according to unknown clinical criteria"," aged between 35 and 80 years"," Hoehn and Yahr stages 1 to 3"," disease duration of less than 10 years"," medication with levodopa for at least six months at dosages of more than 800mg qd divided into less than six dosages"," levodopa regime unchanged for at least one month before inclusion"," unchanged motor status and mood over two weeks before entering the study in terms of both Hoehn and Yahr stage and investigator impression"," inadequate clinical response to current therapies as shown by persistent parkinsonian symptoms","neurodegenerative disorders"," secondary or atypical Parkinsonism"," systemic diseases as revealed by medical or laboratory examination"," patients whose placebo patches failed to stick during the selection period"," previous treatment with dopamine agonists if not withdrawn at least one month before enrolment"," therapy with anticholinergics and selegiline initiated  less than one month before study enrolment"," changes of dopamine agonist dosage during the trial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mueller et al. 2003","Treatment of Parkinson’s disease with controlled release levodopa/carbidopa: An open observational trial","Psychoneuro","2003","Quasi-experimental study","To describe the effects of levodopa and carbidopa in an extended release formulation","levodopa",NA,NA,"Administration of levodopa and carbidopa in a controlled release formulation at individually accepted dosages.","iPS according to unknown clinical criteria"," Hoehn and Yahr stages 1 to 4",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mueller et al. 2003.1","Intravenous amantadine sulphate application improves the performance of complex but not simple motor tasks in patients with Parkinson’s disease","Neurosci. Lett.","2003","Quasi-experimental study","To determine the efficacy of intravenous amantadine on motor symptoms of iPS-patients","amantadine",NA,NA,"three infusions of 200mg amantadine sulphate on three consecutive days, assessment at day four","iPS according to unknown clinical criteria"," no prior medication with amantadine"," lack of unpredictable motor fluctuations",NA,NA,NA,NA,NA,"signs of dementia"," concomitant depression"," history of cerebral lesions or significant atrophy"," medication with neuroleptics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nakanishi et al. 1991","A nationwide collaborative study on the long-term effects of bromocriptine in patients with parkinson’s disease: The fourth interim report","Eur. Neurol.","1991","Quasi-experimental study","To evaluate long-term effects of bromocriptine on motor symptoms of iPS-patients","dopamine_agonist",NA,NA,"bromocriptine as mono-therapy in de-novo pat. OR randomized: bromocriptine as add-on to levodopa or optimization of dopa mono therapy, mono to combi in the initial mono bromocriptine group possible","iPS according to unknown clinical criteria"," start on bromocriptine or already on medication thereof",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navan et al. 2003","Double-blind, single dose, cross-over study of the effects of pramipexole, Pergolide, and Placebo on Rest Tremor and UPDRS part III in Parkinson's Disease","Mov. Disord.","2003","Randomised-controlled trial (RCT)","To compare the effects of single oral dose of a. pramipexole b. pergolide or c. placebo on parkinsonian tremor and part III of the UPDRS","pramipexole"," pergolide",NA,"Three study days with one week in between. All participants received domperidone 24 hours before start of trial treatment, whereas no anti-parkinsonian medication were allowed from midnight onwards before the study. After baseline assessment, intake of 500 µg of pramipexole or pergolide, respectively or one pill of placebo. Assessment on half-hourly intervals for four hours with double-blind protocol.","iPS according to UK Brain Bank Criteria"," rest tremor of at least one upper limb with an intensity of at least 2 of 10"," no previous intake of direct acting dopamine agonist",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navan et al. 2003.1","Double-blind, single dose, cross-over study of the effects of pramipexole, Pergolide, and Placebo on Rest Tremor and UPDRS part III in Parkinson's Disease","Mov. Disord.","2003","Randomised-controlled trial (RCT)","compare effects of single oral dose of a. pramipexole b. pergolide or c. placebo on parkinsonian tremor and part III of the UPDRS","pramipexole"," pergolide",NA,"Three study days with one week in between. All participants received domperidone 24 hours before start of trial treatment, whereas no anti-parkinsonian medication were allowed from midnight onwards before the study. After baseline assessment, intake of 500 µg of pramipexole or pergolide, respectively or one pill of placebo. Assessment on half-hourly intervals for four hours with double-blind protocol.","iPS according to UK Brain Bank Criteria"," rest tremor of at least one upper limb with an intensity of at least 2 of 10"," no previous intake of direct acting dopamine agonist",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navan et al. 2003.2","Randomized, Double-blind, 3-Month Parallel Study of the Effects of Pramipexole, Pergolide, and Placebo on Parkinsonian Tremor","Mov. Disord.","2003","Randomised-controlled trial (RCT)","To compare anti-tremor effects of pramipexole, pergolide and plaebo in iPS-patients","pramipexole"," pergolide",NA,"iPS-patients (n=30) randomly assigned to a. pramipexole b. pergolide or c. placebo. Pre-Treatment with domperidone and after baseline assessment dose gradually titrated upward in 9 levels that is placebo or 1.5mg pramipexole or 1.5mg pergolide tid. Monthly assessment including verbal fluency task while tremor was scored and measured.","IPS according to UK Brain Bank Criteria"," symptomatic tremor in at leasrt one upper limb with severitiy on validated tremor rating scale of more than two of ten"," no previous medication with direct acting dopamine agonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigro et al. 2019","Apomorphine-induced reorganization of striato-frontal connectivity in patients with tremor-dominant Parkinson’s disease","Parkinsonism Relat. Disord.","2019","Quasi-experimental study","To assess the acute effects of apomorphine versus placebo on tremor and functional connectivity","apomorphine",NA,NA,"Subjects received a. 1mg apomorphine i.v. and b. placebo i.v. within two days after medication withdrawal in a cross-over and randomised design. Measurement 60 minutes after administration","iPS according to UK Brain Bank criteria"," right handedness"," rest tremor of more than 2 points in the UPDRS",NA,NA,NA,NA,NA,"signs of dementia"," depression"," concominant neurological diseases"," MRI related exclusion criteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nomoto et al. 2018","Efficacy and safety of rotigotine in elderly patients with Parkinson's disease in comparison with the non-elderly: a post-hoc analysis of randomized, double-blind, placebo-controlled trials","J. Neurol.","2018","Randomised-controlled trial (RCT)","To examine the efficacy and safety of rotigotine treatment for elderly and non-elderly PD patients separately","rotigotine",NA,NA,"After a four week screening period, there was an eight week titration period and a four week maintenance period, a two week taper period, and, finally, a one week safety follow-up period. Patients received either a. rotigotine transdermal patches with 2 mg/24 hours or b. placebo patches. Weekly increments of 2mg up to a maximum of 16 mg qd during titration period.","iPS according to UK Brain Bank criteria"," no concomitant treatment with levodopa"," Hoehn and Yahr stages I to III","",NA,NA,NA,NA,"Presence of psychiatric symptoms such as confusion, hallucinations, delusions, excitation, delirium and abnormal behavior"," symptomatic orthostatic hypotension"," history of epilepsy"," complications or history of serious cardiac disease and or arrhythmia"," severe renal or hepatic impairments"," deep brain stimulation lead surgery"," signs of dementia"," treatment with levodopa for more than 6 months by the time of informed consent"," concomitant treatment with substances that could possibly affect PD symptoms from at least four weeks before the date of first treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nomoto et al. 2018.1","Efficacy and safety of rotigotine in elderly patients with Parkinson's disease in comparison with the non-elderly: a post-hoc analysis of randomized, double-blind, placebo-controlled trials","J. Neurol.","2018","Randomised-controlled trial (RCT)","To examine the efficacy and safety of rotigotine treatment for elderly and non-elderly PD patients separately","rotigotine",NA,NA,"post hoc analysis of all randomized, double-blind, placebo-controlled trials with focus on rotigotine in Japan. Two combination-therapy trials (levodopa plus rotigotine vs levodopa + placebo) included.","NA",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nutt et al. 2007","Effects of methylphenidate on response to oral levodopa: a double-blind clinical trial","Arch. neurol","2007","Randomised-controlled trial (RCT)","Confirm beneficial effects of pramipexole on core symptoms of iPS with focus on tremor; assess antidepressant effects of pramipexole; demonstrate practicability of Snaith-Hamilton-Pleasure Scale, Tremor impact scale and Short Parkinson's Evaluation Scale","other",NA,NA,"Admission to inpatient stay for four days, during which dosage was titrated to .4mg per kg tid, while other medication was reduced if possible. Subjects returned to two visits after one and two weeks during which the efficacy was tested. Comparisons between measurements at 8am and 8pm. Randomisation to a. methylphenydate and b. placebo","iPS-patient according to unknown clinical criteria"," responsiveness to levodopa"," normal vital signs and general medical history and examination",NA,NA,NA,NA,NA,"unstable medical problems"," hypertension"," cardiac arrhythmias"," Mini-Mental State Examination score of less than 24"," intake of monoamine oxidase inhibitors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olanow et al. 1987","Double-blind controlled study of pergolide mesylate as an adjunct to sinemet in the treatment of Parkinson's disease","Adv Neurol.","1987","Randomised-controlled trial (RCT)",NA,"dopamine_agonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olson et al. 1997","Gabapentin for Parkinsonism: A double-blind, placebo-controlled, crossover trial","Am J Med.","1997","Randomised-controlled trial (RCT)","To evaluate the effects of a single dose gabapentin on motor symptoms of iPS-patients","other",NA,NA,"six doses of 400mg gabapentin or placebo over three days, eleven days wash-out, crossover","parkinsonism"," age from 35 to 85 years"," Hoehn and Yahr stage 2.5 to 5",NA,NA,NA,NA,NA,"pregnancy"," liver disease"," kidney disease"," bone marrow disease"," dystonia"," concomitant Huntington disease"," essential tremor"," cerebellar symptoms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkinson Study Group (2007)","Pramipexole in Levodopa-treated Parkinson Disease Patients of African, Asian, and Hispanic Heritage","Clin. Neuropharmacol.","2007","Randomised-controlled trial (RCT)","To evaluate the tolerability, safety, and efficacy of pramipexole in iPS-patients who identified themselves as members of any of three US census designations: African, Hispanic, or Asian.","pramipexole",NA,NA,"a. pramipexole or b. identical appearing placebo was initiated at 0.375mg qd and escalated during first six weeks to a maximal dosage of 4.5mg or until occurence of intolerable side-effects. Medication was administered t.i.d, with subjects receiving 0.375 mg daily during weeks 1 and 2, 1.5mg daily during weeks 3 and 4, 3.0mg daily during week 5, and 4.5 mg from week 6 onwards. In case of side-effects, dosage was decreased temporarily to the prior tolerable level, and titration was resumed to the maximally tolerated dosage. Subjects were maintained at final dosage for four week maintenance period. If disabling parkinsonism developed during maintenance, levodopa dosage was adjusted.","iPS according to UK Brain Bank criteria"," subjects self-identified as being of African, Hispanic, or Asian heritage"," age of at least 30 years"," treatment with stable dosage of levodopa for at least one month before randomization"," Hoehn and Yahr stages 2 to 4",NA,NA,NA,"atypical parkinsonian syndromes"," Mini Mental State Examination of less than 21"," history of psychosis"," occurrence of a seizure within year before screening"," clinically significant hepatic or renal disease"," clinically significant coronary artery disease, bradycardia, or congestive heart failure"," myocardial infarction within six months of randomization"," symptomatic orthostatic hypotension"," active neoplastic disease"," medication with dopamine agonist within two months before inclusion"," use of unstable dose of CNS active therapies 60 days before randomization"," positive hepatitis B screening",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Petramfar et al. 2020","Efficacy of oral administration of licorice as an adjunct therapy on improving the symptoms of patients with Parkinson’s disease, A randomized double blinded clinical trial","J Ethnopharmacol","2020","Randomised-controlled trial (RCT)","To investiate the effects of liquorice on symptoms of iPS-patients","other",NA,NA,"six months of 136 mg polyphenol-rich extract of licorice td versus placebo intake","iPS according to unknown clinical criteria"," age between 30 and 80"," disease duration of less than seven years"," Hoehn and Yahr stage of less than 4"," no medication changes in month before study inititation",NA,NA,NA,"mediaction with warfarin or SSRI or MAO-inhibitors or diuretics"," concomitant diabetes"," history of stroke"," heart disease"," liver disease"," renal disease"," uncontrolled arterial hypertension"," hypokaliaemia"," pregnancy"," breast feeding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pogarell et al. 2002","Pramipexole in patients with Parkinson's disease and marked drug resistant tremor: a randomised, double blind, placebo controlled multicentre study","J. Neurol. Neurosurg. Psychiatry","2002","Randomised-controlled trial (RCT)","To compare the tremorlytic properties of pramipexole to those of placebo as add-on medication in iPS-patients","dopamine_agonist",NA,NA,"two weeks screening period, random assignment to a. Placebo or b. pramipexole under double blind conditions, ascending dose interval of seven weeks to 0.375 and 4,5mg qd pramipexole or matching placebo, four weeks maintenance period, one week dosis reduction. Additional antiparkinsonian medication stable 30 days before randomisation and during study.","iPS according to UK Brain Bank criteria"," marked and drug resistant tremor defined by sum of 6 at one side or 8 on both sides in items 16,20 and 21 of UPDRS",NA,NA,NA,NA,NA,NA,"atypical parkinson syndrome"," signs of severe dementia"," epilepsy"," previous neurosurgery"," electroconvulsive therapy within 90 days before randomisation"," severe other physical illness"," symptomatic hypotension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pollok et al. 2009","Levodopa affects functional brain networks in Parkinsonian resting tremor","Mov. Disord.","2009","Quasi-experimental study","investigate effects of single dose of levodopa on rest state connectivity in MEG and on EMG tremor characterstics","levodopa",NA,NA,"200mg of fast-acting levodopa versus off-state","iPS according to unknown clinical criteria"," presence of rest tremor",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Przuntek et al. 2002","Budipine provides additional benefit in patients with Parkinson disease receiving a stable optimum dopaminergic drug regimen","Arch. Neurol.","2002","Randomised-controlled trial (RCT)","To demonstrate the efficacy of budipine as add-on on motor symptoms in iPS-patients","budipine",NA,NA,"Titration of a. budipine up to 60mg qd or b. placebo over five weeks and administered at stable dosages for eleven weeks","iPS according to UK Brain Bank criteria",NA,NA,NA,NA,NA,NA,NA,"unpredictable fluctuations"," relevant cardiac or hepati or gastrointestinal or pulmonary or metabolic or renal diseases"," concomitant psychiatric disorders"," therapy with dopamine antagonists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rabey et al. 1994","Efficacy of memantine, an NMDA receptor antagonist, in the treatment of Parkinson’s disease","J. Neural Transm.  - Park Dis Dement Sect","1994","Quasi-experimental study","To evaluate the effects of memantine on motor symptoms of iPS-patients","memantine",NA,NA,"Subjects received increasing dosages of memantin until maximal dosage of 30mg qd which was maintained over 28 days","iPS according to unknown clinical criteria"," presence of motor fluctuations",NA,NA,NA,NA,NA,NA,"renal or hepatic or cardiovascular or respiratory or gastrointestinal diseases"," signs of dementia"," concomitant psychosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rahimi et al. 2015","Effective management of upper limb parkinsonian tremor by incobotulinumtoxin-A injections using sensor-based biomechanical patterns","Tremor Other Hyperkinet Mov (N Y)","2015","Quasi-experimental study","evaluate safety and efficacy of kinematically-guided, indivldualized incobotulinumtoxin  A injections for upper limb tremor in iPS- and ET-patients","botulinumtoxin",NA,NA,"EMG-guided individualized injections of incobotulinum toxin into unilateral arm  after kinematic tremor assessment with sensors at wrists, elbows and shoulders; four injections every 12 weeks, mean dose approximately 150U","iPS according to UK Brain Bank criteria"," Hoehn and Yahr stages from 1 to 3"," stable medication for at least six months"," no previous treatments with botulinum toxin",NA,NA,NA,NA,"history of stroke"," contraindications for botulinum toxin injections"," pregnancy"," intake of lithium or valproate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rascol et al. 1988","Two weeks of treatment with deprenyl (selegiline) does not prolong L-dopa effect in parkinsonian patients: A double-blind cross-over placebo-controlled trial","Neurology","1988","Randomised-controlled trial (RCT)","To determine whether deprenyl can improve clinical effects of a single standard dose of levodopa, and whether two weeks of deprenyl treatment could improve parkinsonian patients motor scores","selegiline",NA,NA,"a. selegiline 10mg daily or b. placebo in a controlled double-blind cross-over design for two successive periods of two weeks each.","iPS according to unknown clinical criteria"," treatment with levodopa at a stable dosage for at least two months before entering the trial"," levodopa medication had to remain unchanged during the study"," other antiparkinsonian drugs were allowed if their dosages remained stable for the same period.",NA,NA,NA,NA,"random motor fluctuations"," “on-off’ phenomena"," freezing of gait"," clinical evidence of dementia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reichmann et al. 2002","[Pramipexole in Parkinson disease Results of a treatment observation]","Nervenarzt","2002","Quasi-experimental study","To observe the efficacy and safety of pramipexole in clinical practice","dopamine_agonist",NA,NA,"pramipexole in individualized daily dosage of up to 3.15mg qd over nine weeks with unaltered dosage within last five weeks","iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reichmann et al. 2003","Pramipexole in Routine Clinical Practice. A Prospective Observational Trial in Parkinson's Disease.","CNS drugs","2003","Quasi-experimental study","To confirm the beneficial effects of pramipexole on core symptoms of iPS with focus on tremor, to assess antidepressant effects of pramipexole and to demonstrate the practicability of the Snaith-Hamilton-Pleasure Scale, Tremor impact scale and Short Parkinson's Evaluation Scale","dopamine_agonist",NA,NA,"Treatment details from 298 German centres and 657 iPS-patients. Tretament with pramipexole initiated by local neurologist with 0,35mg td, increased weekly up to 4,5mg over 4 weeks. Clinical evaluation at baseline, at end of titration phase and at end of observation.","iPS-patient according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reichmann et al. 2005","[Practical experience on improving activities of daily living competence in Parkinson’s patients treated with ropinirole Results of a applied study]","Nervenarzt","2005","Quasi-experimental study","Observe efficacy and safety of ropinirole in iPS-patients","dopamine_agonist",NA,NA,"Individualised dosage of ropinirole was increased up to 24mg qd over twelve weeks. Stable dosage within last six weeks of observation","iPS according to unknown criteria"," less than 4mg ropinirole qd",NA,NA,NA,NA,NA,NA,"allergies"," liver or renal failure"," pregnancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reichmann & Jost (2010)","Efficacy and tolerability of rasagiline in daily clinical use - A post-marketing observational study in patients with Parkinson’s disease","Eur J Neurol","2010","Quasi-experimental study","observe the efficacy and tolerability of rasagiline as mono and combination therapy in large population of iPS-patients","rasagiline",NA,NA,"Administration of rasagiline 1mg qd as monotherapy or as add-on therapy","iPS according to unknown clinical criteria"," clinical decision to prescribe rasagiline",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ridgel et al. 2012","Active-assisted cycling improves tremor and bradykinesia in Parkinson’s disease","Arch Phys Med Rehabil","2012","Quasi-experimental study","To investigate effects of a single session of active assisted cycling on tremor and bradykinesia of iPS-patients","physical_therapy",NA,NA,"Subjects were compared at baseline and after half an hour active assisted cycling using a motomed with 75rpm and subjects being asked to pedal 80-85 rpm. Recordings in OFF medication state","iPS according to unknown clinical criteria"," Hoehn and Yahr stages 1 to 3",NA,NA,NA,NA,NA,NA,"contradictions to exercise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rondot & Ziegler (1992)","Activity and acceptability of piribedil in Parkinson's disease: a multicentre study","J. Neurol.","1992","Quasi-experimental study","To determine the efficacy of piribedil as monotherapy in iPS-patients","dopamine_agonist",NA,NA,"Multicentre trial of three months duration; otherwise untreated patients received piribedil, start dosage of 50mg qd, up-titrated to 150-250mg qd","iPS according to unknown clinical criteria"," either tremor-dominance or presence of all cardinal symptoms of iPS"," rest tremor equal to or greater than 1 on Webster scale"," Hoehn and Yahr stages 1 to 3"," no treatment with levodopa before",NA,NA,NA,"pure akinetic parkinsonism"," recent cardiovascular disease"," severe psychological disorder"," psychiatric symptoms"," treatment with monoaminoxidase A or B inhibitors"," intake of neuroleptics or previous treamtent with piribedil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saavedra-Escalona et al. 2005","Effect of tens over parkinson‘s disease tremor.","Arch. de Neurocienc.","2005","Quasi-experimental study","To explore the symptomatic effects of tens on iPS-patients' tremor","other",NA,NA,NA,"iPS according to unknown clinical criteria",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sahoo et al. 2020","Comparison of effectiveness of trihexyphenidyl and levodopa on motor symptoms in Parkinson's disease.","J Neural Transm (Vienna)","2020","Quasi-experimental study","To compare the responsiveness of motor signs to a single fixed dose of trihexphenidyl and levodopa and to compare relative tremor improvement","trihexphenidyl"," levodopa",NA,"Overnight medication withdrawal, consecutively 4mg THP over 48 hours. Then, again, overnight medication withdrawal and administration of 200 and 50mg levodopa and carbidopa, respectively","IPS according to MDS diagnostic criteria"," current or previous medication with trihexphenidyl",NA,NA,NA,NA,NA,NA,"MoCA of less than 26"," contraindications to trihexphenidyl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samotus et al. 2017","Long-term tremor therapy for Parkinson and essential tremor with sensor-guided botulinum toxin type A injections","PLoS One","2017","Quasi-experimental study","To evaluate the safety and efficacy of kinematically-guided, individualised incobotulinumtoxin A injections for upper limb tremor in iPS-patients","botulinum_toxin",NA,NA,"EMG-guided individualized injections of incobotox into unlateral arm mm. after kinematic tremor assessment with sensors at wrists, elbows and shoulders, injections every 12 weeks, mean dose approx. 150 U","iPS according to UK Brain Bank criteria"," Hoehn and Yahr stage 2 to 3"," predominance of tremor"," stable medication for at least six months"," BoNT-A naive patients",NA,NA,NA,"history of stroke or amyotrophic lateral sclerosis"," contraindications for botox"," pregnancy"," concomitant medication with lithium, valproate, steroids, amoidarone, beta-adrenergic agonists or zonisamide"," history of allergic reactions to botulinum toxin"," pregnancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samotus et al. 2020","Standardized algorithm for muscle selection and dosing of botulinum toxin for Parkinson tremor using kinematic analysis","Ther Adv Neurol Disord","2020","Quasi-experimental study","To investigate rge effects of incobotulinumA injections on tremor of iPS-patients","botulinum_toxin",NA,NA,"EMG-guided individualized injections of incobotox into arm, uni- or bilaterally after kinematic tremor assessment with sensors at wrists, elbows and shoulders. Four injections every 12 weeks, mean dose approximately 150U","iPS according to unknown clinical criteria"," presence of tremor"," stable medication over three months",NA,NA,NA,NA,NA,"history of stroke"," concomitant arm weakness"," allergies"," pregancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schlesinger et al. 2009","Parkinson’s Disease Tremor is Diminished with Relaxation Guided Imagery","Mov. Disord.","2009","Quasi-experimental study","To assess the effects of relaxation guided imaginary and relaxing music on tremor","other",NA,NA,"In a two hour session, all participants received a. relaxation guided imagery b. self relaxation period and c. relaxing music. Besides, a baseline period was recorded","iPS according to unknown clinical criteria"," subjects on optimal medical treatment"," rest tremor of at least 3 on item 20 of the UPDRS",NA,NA,NA,NA,NA,"signs of dementia"," presence of dyskinesias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schlesinger et al. 2009.1","Parkinson’s Disease Tremor is Diminished with Relaxation Guided Imagery","Mov. Disord.","2009","Quasi-experimental study","To assess the effects of relaxation guided imaginary and relaxing music on tremor","other",NA,NA,"In a two hour session, all participants received a. relaxation guided imagery b. self relaxation period and c. relaxing music. Besides, a baseline period was recorded","iPS according to unknown clinical criteria"," subjects on optimal medical treatment"," rest tremor of at least 3 on item 20 of the UPDRS",NA,NA,NA,NA,NA,"signs of dementia"," presence of dyskinesias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schlesinger et al. 2009.2","Parkinson’s Disease Tremor is Diminished with Relaxation Guided Imagery","Mov. Disord.","2009","Quasi-experimental study","To assess the effects of relaxation guided imaginary and relaxing music on tremor","other",NA,NA,"In a two hour session, all participants received a. relaxation guided imagery b. self relaxation period and c. relaxing music. Besides, a baseline period was recorded","iPS according to unknown clinical criteria"," subjects on optimal medical treatment"," rest tremor of at least 3 on item 20 of the UPDRS",NA,NA,NA,NA,NA,"signs of dementia"," presence of dyskinesias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huebsch et al. 2006","Qigong exercise for the symptoms of Parkinson’s disease: A randomized, controlled pilot study","Mov. Disord.","2006","Randomised-controlled trial (RCT)","To investigate the effects of Qigong on iPS-symptoms","physical_therapy",NA,NA,"two courses of weekly 60 minutes sessions of qigong for eights weeks with eight weeks break inbetween versus no intervention","iPS according to UK Brain Bank criteria",NA,NA,NA,NA,NA,NA,NA,"experience with qigong"," changes in medication during previous month before before study"," signs of other central nervous system disease"," dementia with MMSE of less than 24"," clinicalla traceable aphasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
